geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480019501001,496,12,31,79,15,33,36,25,55,4,28,45,57,34,3,20,19
480019501002,741,14,27,18,4,41,62,58,31,18,74,39,84,179,10,66,16
480019501003,641,25,68,60,48,40,50,28,2,5,70,49,48,58,33,18,39
480019504011,100,0,0,0,27,0,9,4,17,4,8,7,21,3,0,0,0
480019504021,128,0,0,0,0,0,0,0,0,17,0,31,61,0,0,19,0
480019505001,256,7,0,0,19,48,83,0,30,7,7,15,31,3,2,4,0
480019505002,177,38,16,89,10,0,0,12,0,12,0,0,0,0,0,0,0
480019505003,763,59,13,108,47,57,81,155,46,0,34,46,93,23,1,0,0
480019505004,456,32,15,66,30,24,15,50,0,59,52,12,25,56,6,14,0
480019506001,497,24,44,0,136,17,10,56,19,0,103,30,58,0,0,0,0
480019506002,561,0,0,0,0,0,174,27,0,0,89,133,73,36,29,0,0
480019506003,355,14,40,78,26,49,0,17,0,0,36,48,0,8,27,0,12
480019506004,570,12,48,44,96,0,50,29,31,0,79,37,101,43,0,0,0
480019507001,324,48,78,29,11,13,6,12,32,9,22,26,27,0,0,11,0
480019507002,205,39,28,21,20,12,6,26,8,12,7,5,7,10,0,4,0
480019507003,389,64,56,1,0,69,43,9,45,10,42,2,0,0,34,6,8
480019508001,432,33,27,39,30,0,13,0,12,0,25,108,92,15,0,38,0
480019508002,515,55,55,17,126,0,37,0,0,16,17,141,17,14,8,0,12
480019508003,237,26,0,28,11,51,44,0,0,13,19,10,12,10,13,0,0
480019508004,424,0,0,14,47,0,12,13,0,16,46,77,185,0,0,0,14
480019508005,247,0,0,12,0,26,0,0,0,0,69,29,31,36,32,0,12
480019509011,432,7,29,29,40,59,31,10,19,13,59,8,19,46,6,18,39
480019509012,292,62,0,45,14,11,37,29,0,0,0,10,32,7,0,31,14
480019509013,270,8,71,0,0,8,0,0,24,38,0,20,74,27,0,0,0
480019509014,830,27,30,28,103,42,92,50,55,63,49,165,28,18,22,48,10
480019509021,276,38,5,41,20,45,9,0,7,0,14,29,4,18,36,10,0
480019509022,592,27,46,102,32,25,83,45,60,17,58,18,37,27,15,0,0
480019509023,232,0,0,0,18,0,19,65,0,0,0,17,14,23,36,0,40
480019509024,725,38,133,13,5,9,38,69,93,93,41,107,40,36,0,6,4
480019510001,591,34,32,73,28,10,20,66,66,0,49,44,80,40,16,28,5
480019510002,776,7,52,56,64,0,61,61,60,36,83,98,92,48,42,0,16
